喜欢畅乐悦欣怡快愉恬惬慰
愁郁闷怏苦凄惨怅
悲哀伤悼恸怆
怒愤恼气忿恚嗔怪
忧忡惴烦焦急慌张
惊恐怯惧悚怕惮忌怵惶愣怔
厌忍怨憎恨
轻蔑鄙夷
静安和
恳诚敬
怀想念愿望憧憬
惜怜恻悯惋
愧惭懊悔
慕羡嫉妒
惑疑
慎谨
凶悍恣狂冲
恍惚
