610,胆怯
609,欣欣
606,放肆
604,无懈可击
602,惴
600,悲凉
597,沾沾自喜
596,勤勤恳恳
587,慰
580,蛮横
578,义愤填膺
575,不欢而散
570,凶杀
569,忧愁
559,惴惴
557,问心无愧
549,请愿
539,哀叹
533,惊愕
524,虚惊
523,宽慰
520,怦然心动
520,惨状
516,怯
514,安乐
514,怜悯
506,惊觉
505,惊叫
498,惴惴不安
488,毛骨悚然
486,慈祥
476,怜
472,惊异
469,不厌
468,悲愤
464,惆怅
458,凄
447,积怨
445,感念
435,告慰
428,慈爱
427,喜气洋洋
418,坚忍
418,恍如
414,发怒
412,激愤
411,哀伤
411,喜上眉梢
408,解忧
407,大悲
396,纯情
393,愁容
391,恭敬
386,悲欢离合
384,怪罪
383,乐善好施
383,怖
382,慷慨激昂
381,乐业
376,惊叹不已
374,欢愉
373,仁慈
373,惹恼
372,拍案惊奇
371,感伤
370,喜笑颜开
366,怒放
366,恼人
364,痛惜
362,患难
361,怠
361,欣喜若狂
354,忍让
351,凶多吉少
349,谦虚谨慎
347,乐土
347,恬淡
346,怀恨在心
344,惊鸿
337,憎
335,乐事
333,后悔莫及
331,怨天尤人
331,畅饮
328,快人
327,劝慰
325,怀恨
325,愤懑
322,合家欢
321,愣住
321,神智
320,怒不可遏
320,恍然
315,喜滋滋
314,哀怨
314,愁眉
312,感人肺腑
311,悔婚
309,慑
307,喜报
307,心惊胆战
306,不慌不忙
306,愤愤不平
305,哀愁
304,怯场
303,小情
301,驩愉
297,有恃无恐
297,欢唱
294,欢天喜地
294,追悔
291,坚忍不拔
291,民愤
290,情志
289,怡和
289,怪诞
288,怡情
288,惊弓之鸟
287,戒备森严
285,饮恨
281,乐子
281,和悦
281,报忧
277,喜帖
277,喜洋洋
277,疼惜
275,喜乐
274,苦苦哀求
273,惊涛骇浪
271,欣说
270,惊雷
269,恼
269,悠然自得
267,怵
267,恳切
267,悻悻
266,悲悯
266,惶
266,自慰
264,悸
263,怜惜
263,愤然
261,谨慎小心
255,愁眉不展
254,咒骂
254,哀思
254,惊世骇俗
254,扭捏
253,追悔莫及
251,惜别
250,烦闷
247,悦来
247,愤恨
245,怜爱
242,寡欢
239,恨之入骨
237,悲痛欲绝
237,慌慌张张
235,郁郁寡欢
232,倾慕
229,怡心
229,感怀
228,欢畅
226,暴戾
225,怀恩
